symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	direction
RNA5SP46	-0.05	0.0983333333333333	-0.448109061324577	0.665283456726901	0.799888281662905	-7.83291774298036	Ns
ZNF839	0.05	-0.00166666666666667	0.437483534600917	0.672670838566411	0.804874109995807	-7.8380513844427	Ns
RN7SL612P	0.05	-0.0316666666666667	0.412911257054306	0.689897660025639	0.817335676420351	-7.84947138337776	Ns
SLC22A31	-0.05	-0.0916666666666667	-0.34853366494014	0.735920441871657	0.84699252725494	-7.87636999485329	Ns
ADAM20P1	-0.05	0.438333333333333	-0.307162833941686	0.766115065845033	0.865737883134554	-7.89132109342606	Ns
LOC100132167	0.05	0.0616666666666667	0.79623769855559	0.447571967101436	0.624637233162855	-7.60241608742357	Ns
NLRP7	-0.05	0.0783333333333333	-0.763510229814573	0.465832975692533	0.641297647044646	-7.62900195551556	Ns
RFNG	0.05	-0.0783333333333333	0.648081338615192	0.534053928680692	0.699999463680865	-7.71487551937746	Ns
IER5L	-0.05	-0.0816666666666667	-0.426845438850941	0.680104657293191	0.810223676318134	-7.84307307239024	Ns
FUBP3	-0.05	-0.0983333333333333	-0.83175780828911	0.428305357923135	0.607356593886256	-7.57247833626637	Ns
AQP8	-0.05	0.0416666666666667	-0.723566900174222	0.488774792210691	0.661873038043762	-7.66012686839349	Ns
RN7SL338P	-0.05	0.0816666666666667	-0.65239631178231	0.531399209255712	0.69775084005919	-7.71189203324416	Ns
MIR183	-0.05	-0.00166666666666667	-0.523490093719644	0.614012068201281	0.763038084434404	-7.79315007649494	Ns
RNVU1-8	0.05	-0.0116666666666667	0.516863237009471	0.618436389139793	0.766278775764276	-7.7968792969796	Ns
CNTD2	0.05	-0.131666666666667	0.513005918889843	0.621019253380146	0.768304885531666	-7.79902943696294	Ns
PDE4A	0.05	-0.055	0.497107115121619	0.631723355086349	0.775169855585845	-7.8077316804657	Ns
FLJ46363	-0.05	0.075	-0.432488901781904	0.6761563935334	0.80784146730955	-7.84042381960006	Ns
FAM212A	0.05	-0.0383333333333333	0.477621354547754	0.644968074291816	0.784371693941715	-7.81804431727946	Ns
SCARNA10	-0.05	0.238333333333333	-0.600146700333586	0.564071788054484	0.724321326835379	-7.74680461324106	Ns
MARVELD2	-0.05	0.138333333333333	-0.488590578584601	0.63749531930135	0.779380161925963	-7.81228692324994	Ns
NT5M	-0.05	-0.0883333333333333	-0.475582372276594	0.646361856396509	0.785195235433829	-7.81910086546555	Ns
RNU6-1123P	-0.05	0.188333333333333	-0.290133330625734	0.778671050623361	0.873825710283532	-7.89693947242084	Ns
TUBA3E	-0.05	0.0616666666666667	-0.276845752105591	0.788516083775101	0.879682594940148	-7.90110510385224	Ns
LOC401296	-0.0499999999999999	-0.0183333333333333	-0.392821788650799	0.704125212021765	0.826705549432526	-7.85833661080895	Ns
PIK3R2	0.0499999999999999	-0.271666666666667	0.623113991191565	0.549569385726481	0.712630114227611	-7.7317853693321	Ns
CLGN	-0.0499999999999999	0.351666666666667	-0.280444851002039	0.785845397484348	0.87823242607049	-7.89999571547494	Ns
C7orf13	-0.0466666666666667	-0.223333333333333	-0.644630665616089	0.536182600407961	0.701674547476814	-7.71724850034299	Ns
ANKLE1	-0.0466666666666667	-0.0866666666666667	-0.541670809849211	0.601959563664049	0.754294169371936	-7.78269071624371	Ns
HMX3	-0.0466666666666667	-0.156666666666667	-0.469710035858646	0.650384205352093	0.788049194810606	-7.82211980280546	Ns
VSIG8	0.0466666666666667	-0.0166666666666667	0.392231027451547	0.704545492902159	0.826996464699367	-7.85859085985189	Ns
MBD3	0.0466666666666667	-0.0866666666666667	0.579692027305516	0.577169544563278	0.735279236633652	-7.75974408675943	Ns
PSMB10	0.0466666666666667	0.106666666666667	0.47310745831527	0.648055604880996	0.786203063694813	-7.82037754373825	Ns
MANEAL	0.0466666666666667	-0.103333333333333	0.412637654895665	0.690090574050369	0.817481118647621	-7.84959497579172	Ns
RPL21P131	0.0466666666666667	0.0533333333333333	0.406450126450352	0.694459685159651	0.820682068924847	-7.85236899844233	Ns
NOXA1	0.0466666666666667	-0.11	0.402085480703866	0.697548894786834	0.822470384519489	-7.85430152875617	Ns
MEIG1	0.0466666666666667	0.0366666666666667	0.733487266791888	0.483010294555468	0.656491773688144	-7.65253386330477	Ns
DNASE1	0.0466666666666667	0.0233333333333333	0.644630665616088	0.536182600407961	0.701674547476814	-7.71724850034299	Ns
TIMM17A	-0.0466666666666667	-0.04	-0.517437155251404	0.618052568607702	0.766220809390411	-7.79655809173759	Ns
TESK1	0.0466666666666667	-0.0633333333333333	0.489997814698424	0.636539771362141	0.778620365862151	-7.81153936261501	Ns
DCAF8L1	-0.0466666666666667	-0.0166666666666667	-0.479333799094054	0.643798643477062	0.783633537890113	-7.81715366344581	Ns
GPR62	0.0466666666666667	-0.0666666666666667	0.470458691798091	0.64987072622482	0.787692392538451	-7.82173690228292	Ns
UBQLNL	-0.0466666666666667	-0.0566666666666667	-0.468593723277448	0.651150213732025	0.788587063208745	-7.82268966631375	Ns
RNU6-287P	0.0466666666666667	0.0133333333333333	0.454770038814367	0.66067191362419	0.796435310377521	-7.82963963728644	Ns
RNF185-AS1	-0.0466666666666667	0.03	-0.336795894894922	0.744441003128517	0.852236674685218	-7.88079872008956	Ns
TAOK1	0.0466666666666667	-0.00333333333333333	0.771850289657494	0.461133338621755	0.637272119528024	-7.6223188730663	Ns
PPIAP9	0.0466666666666667	0.0166666666666667	0.75579539729343	0.470208259934356	0.645491539976538	-7.63512766424549	Ns
OR51E2	0.0466666666666667	-0.00333333333333333	0.740702406029965	0.478845320903662	0.652870020961472	-7.64695424754666	Ns
LINC01260	-0.0466666666666667	-0.03	-0.727401796254487	0.486541226418971	0.65979032781445	-7.65720247327304	Ns
TLE4	0.0466666666666667	-5.78241158658936e-19	0.724643740785739	0.488146945554633	0.6613521397455	-7.65930707561399	Ns
RNA5SP121	-0.0466666666666667	-0.0366666666666667	-0.688270328891187	0.509637943640956	0.679565853449268	-7.68639806617287	Ns
H1FNT	0.0466666666666667	0.0166666666666667	0.672388770626445	0.519203181289853	0.687560712859239	-7.69783566539997	Ns
DDX27	-0.0466666666666667	-0.0166666666666667	-0.670208549925441	0.520524831346552	0.688528504210789	-7.69938710338389	Ns
OR10H5	0.0466666666666667	-0.04	0.664496731631912	0.523997057624514	0.691238364390681	-7.70343011029991	Ns
KYNU	-0.0466666666666667	-0.0166666666666667	-0.663792975253231	0.524425844504293	0.691582574202983	-7.70392609471943	Ns
INPP5F	-0.0466666666666667	-0.136666666666667	-0.663792975253231	0.524425844504293	0.691582574202983	-7.70392609471943	Ns
ARL6	-0.0466666666666667	0.113333333333333	-0.657558181596664	0.528233885763031	0.694860998728918	-7.70829946750844	Ns
MAGEB3	0.0466666666666667	-0.05	0.656196373433612	0.529067857621187	0.695565464664768	-7.70924974507393	Ns
