symbol	loading
CERK	-0.0135802377208418
CAMK4	0.0135779505784571
SYNJ2BP-COX16	-0.0135771824447122
LHX1	-0.0135766189907197
ASF1A	-0.0135760520697781
KIAA0430	-0.0135742317688657
EIF3H	-0.0135734904226285
RRP12	0.013572401879933
ARHGDIA	-0.0135723527168888
SLMO2	-0.0135696497942362
TMCC1	-0.013569358581507
HIST1H2BD	-0.0135693245567303
PDHA1	-0.0135691244694576
CDK19	-0.0135662664043584
HMGN2	-0.0135637975591586
CDON	0.0135631574484602
DOCK3	0.0135621380078709
ACTN1	-0.0135615294692066
ST5	-0.0135583061340284
HIF1A	-0.013557392366398
FTO	-0.0135554856417502
KLF11	-0.0135552371450748
AMOT	-0.0135549492637005
CLIP4	-0.0135541518993303
UBBP4	-0.0135537023489778
YTHDC1	-0.0135529084092245
EHMT1	0.0135520976582532
APC	-0.0135502187926622
COCH	-0.0135465448009746
NTAN1	-0.0135443009127277
USP46	-0.0135442464563209
UBQLN2	-0.0135440281052282
UQCRC1	-0.0135432366820974
AFF4	-0.0135390129377028
GNAL	-0.0135388044307751
FAM168B	-0.0135382057367376
PEX12	-0.0135359765097995
NBPF9	-0.0135350585206424
TAGLN2	-0.0135347373139666
MAPK3	-0.0135345802448318
TANC2	-0.0135327213018953
CRHBP	-0.0135307603795184
AHSA1	-0.0135287633813705
GPA33	-0.0135263326630501
GALC	-0.0135238142677458
ODC1	-0.0135233133566478
CPT1A	-0.0135226984713967
FGFR3	-0.013522546271398
DNAJC22	-0.0135184879805205
TUBB4B	-0.0135181645391527
ATOX1	-0.0135177110057829
ATP1A3	0.0135174979354865
SETBP1	-0.0135174287847015
PPP1R10	-0.0135165016116171
STIL	-0.0135134637451503
COG4	-0.0135115627736311
NPC2	-0.0135107436220481
HMGB2	-0.0135106972130933
MRPS18A	-0.0135102621109133
FANCC	-0.013508765131015
DHRS2	-0.0135081789430986
TSKU	-0.0135073156401489
RPRM	-0.0135070258722791
