symbol	loading
CNKSR2	0.0142638995164566
ME2	-0.0142621201151903
SLC5A3	-0.0142620911644328
MARCH7	-0.0142609306963713
FAM32A	-0.0142570533985423
CNOT7	-0.0142553527765897
RHOC	-0.0142548478266847
NT5C2	-0.0142530991589954
PAPOLG	-0.0142514342883763
NDUFA6	-0.0142511536494042
TTC28	-0.0142450824475267
KBTBD2	-0.0142449124268208
OSTF1	-0.0142446827073479
USP3	-0.0142413056175774
KIF13B	-0.0142396317990704
C1D	-0.0142394342068433
GMCL1	-0.0142391773495893
GTF3C3	-0.0142389592694448
PPP3CB	-0.0142349157195123
TRIP12	-0.0142336645148304
C14orf166	-0.014233469314405
SRP14	-0.0142326069389686
CDKN1B	-0.0142317276167999
CANT1	-0.0142301000412237
SSFA2	-0.0142261890893675
GCSH	-0.0142261879469428
ANXA1	-0.0142226527684636
COPG1	-0.0142215032969806
KLF5	-0.01422016470178
UBE2L3	-0.0142190737230254
PLIN3	-0.0142189180480318
MLX	-0.0142179902763831
WDR13	-0.0142159879257009
ENSA	-0.0142155118517846
HELZ	-0.0142142447285265
MAP3K4	-0.0142121262845845
SMUG1	-0.0142104998662942
CORO2A	-0.0142093595120024
GPSM2	-0.0142090339236751
ACOX1	-0.0142083902053991
COPS8	-0.0142082636788088
ZHX2	-0.0142054722267948
DENND2A	-0.0142029188058184
RPA1	-0.0141991348543122
MAP3K8	-0.0141978307528503
CTNNAL1	-0.0141956665575301
MSRB2	-0.0141955111503964
OXSR1	-0.0141934794453226
IL17RA	-0.0141933823044302
MYO1B	-0.0141922245827551
MLLT3	-0.0141913791520366
SMNDC1	-0.0141908601683824
GLS	-0.0141902955036876
HIST1H2BF	-0.0141895209260995
KRT19	-0.0141851259040922
SLC36A1	-0.0141846435439541
NR3C1	-0.0141818655180209
ZBTB38	-0.0141816383258528
CHL1	-0.0141806727678207
PDCD6IP	-0.0141805216438425
GCH1	-0.0141789953449396
ZNF702P	-0.0141775627597228
FXR1	-0.014175169247319
TBC1D12	-0.0141748724929923
TRIM32	-0.0141745255063344
CRELD1	-0.0141741896846282
ATP5J2	-0.0141728509087156
GNB1	-0.0141717579083675
EMC2	-0.0141709092013489
CDH2	-0.0141706609687503
UBE2J1	-0.0141689316955856
CRNKL1	-0.014168427346344
STX8	-0.0141678435403885
ANXA11	-0.0141632005338404
AURKA	-0.0141586810996193
EFTUD1	-0.0141577788439385
FST	-0.0141573439414752
USP47	-0.0141555901419757
CNDP2	-0.014154083317609
TUBA1C	-0.0141511672314064
PTPLB	-0.0141491379742463
ELMO1	-0.0141491193015613
TMEM123	-0.0141481851557053
