tair_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol_annot	symbol	change	change_labeled
AT2G03720	122.823517206845	0.773470371543121	0.205948987806478	3.75564055828194	0.000172898691177569	0.000315706597299984	MRH6	MRH6	Up-regulated	Up-regulated (16804)
AT2G48100	1751.71675983846	0.59622257239797	0.108736853478132	5.48316925979357	4.17772951901768e-08	1.65429042052363e-07		AT2G48100	Up-regulated	Up-regulated (16804)
AT2G38480	157.208645409201	0.722064448969713	0.161073384045328	4.48282907352661	7.36599284207007e-06	1.79976070247486e-05	CASPL4B1	CASPL4B1	Up-regulated	Up-regulated (16804)
AT2G33435	779.29114650182	0.69946272756257	0.106525673498166	6.56614226968125	5.1635484643767e-11	3.81767048918537e-10		AT2G33435	Up-regulated	Up-regulated (16804)
AT2G02450	173.489408256316	1.02672166065587	0.184271544953079	5.57178625119415	2.52140658861758e-08	1.0436218054747e-07	ANAC034	ANAC034	Up-regulated	Up-regulated (16804)
AT2G02148	208.885415079999	0.624805060975473	0.151349805410525	4.12821846239404	3.65584699875047e-05	7.68545950876716e-05		AT2G02148	Up-regulated	Up-regulated (16804)
AT2G20835	103.723010698035	-0.076422516981865	0.186144878934698	-0.410553958933648	0.681399629752055	0.699396803353986		AT2G20835	NotSig	NotSig
AT2G27430	110.229851587996	0.543119045669218	0.21506902738854	2.52532432151669	0.0115591558776379	0.0151838568644746		AT2G27430	Up-regulated	Up-regulated (16804)
AT2G01330	232.064895836171	0.732860471165396	0.147545241220937	4.96702208150513	6.79888491352522e-07	2.07543841152178e-06	AIP1-1	AIP1-1	Up-regulated	Up-regulated (16804)
AT2G26530	290.333806565504	0.237389863698308	0.141322234515795	1.67977717385848	0.0930006779082727	0.107015051329443	AR781	AR781	NotSig	NotSig
AT2G39760	961.88941157525	0.854273581167837	0.0992385605077262	8.60828267557677	7.41631962523233e-18	2.51051613098774e-16	ATBPM3	ATBPM3	Up-regulated	Up-regulated (16804)
AT2G42980	29.3727390055628	1.18252941650013	0.337979912593491	3.49881567642875	0.00046732952503865	0.000784436412817929		AT2G42980	Up-regulated	Up-regulated (16804)
AT2G29900	419.102937734883	0.440291482354225	0.145213506431043	3.03202844677057	0.00242916310276014	0.00357291441715941	PS2	PS2	Up-regulated	Up-regulated (16804)
AT2G21220	23.1852241923896	-0.0318674976145519	0.372136681293378	-0.0856338523356389	0.931757487019999	0.936789068933215	SAUR12	SAUR12	NotSig	NotSig
AT2G03550	464.90654810951	0.298423822147464	0.133878622949155	2.22906253122129	0.0258097444963632	0.0322444682050581		AT2G03550	Up-regulated	Up-regulated (16804)
AT2G39850	178.109216312629	-0.0720952636974894	0.182185981706398	-0.395723441629414	0.692309060314841	0.709740679543873		AT2G39850	NotSig	NotSig
AT2G30470	1057.08148899551	0.568453985667263	0.108123768664154	5.25743777423217	1.46076296959188e-07	5.14293031068279e-07	HSI2	HSI2	Up-regulated	Up-regulated (16804)
AT2G18900	489.663559352916	0.790394545131256	0.112973327582086	6.99629339108346	2.62822875970087e-12	2.56804031482222e-11		AT2G18900	Up-regulated	Up-regulated (16804)
AT2G44110	228.48316207419	0.861757360046106	0.140304646426712	6.14204434417106	8.14661058367383e-10	4.60583559417017e-09	ATMLO15	ATMLO15	Up-regulated	Up-regulated (16804)
AT2G06200	46.4058060149427	0.481366552285776	0.275104966729136	1.7497559495526	0.0801604347577947	0.0931981665534849	AtGRF6	AtGRF6	NotSig	NotSig
AT2G42750	2050.95172577846	0.632506561924583	0.115093645107846	5.49558197876092	3.89423983395168e-08	1.55072976471574e-07	DJC77	DJC77	Up-regulated	Up-regulated (16804)
AT2G20750	190.43729463032	0.788416142462061	0.182010164555734	4.33171490387087	1.47952440584968e-05	3.37273595634477e-05	ATEXPB1	ATEXPB1	Up-regulated	Up-regulated (16804)
AT2G39445	126.386363740998	0.431391042884463	0.189676622202004	2.2743500905717	0.0229449457008905	0.0288413728567015		AT2G39445	Up-regulated	Up-regulated (16804)
AT2G12462	327.229978898769	0.978551153908861	0.148350133857653	6.59622696968923	4.21753103024617e-11	3.17905909088854e-10		AT2G12462	Up-regulated	Up-regulated (16804)
AT2G28760	295.197342598427	0.721578770879462	0.131396730905811	5.49160367921718	3.98300391061634e-08	1.58361328071098e-07	UXS6	UXS6	Up-regulated	Up-regulated (16804)
AT2G36400	1078.88295444766	0.736421511044194	0.159174105094015	4.62651579293775	3.71868523710689e-06	9.65255686387187e-06	AtGRF3	AtGRF3	Up-regulated	Up-regulated (16804)
AT2G02060	103.644397068212	0.79007735217522	0.202488447056423	3.90183916001424	9.54645844120243e-05	0.000184184144018677		AT2G02060	Up-regulated	Up-regulated (16804)
AT2G30130	48.3856358033108	0.555115189403418	0.265713935753408	2.08914593745126	0.0366945882568917	0.0448365352604941	ASL5	ASL5	Up-regulated	Up-regulated (16804)
AT2G24980	1589.1822945138	1.9734764663448	0.37739657432699	5.2291848961907	1.70259023118347e-07	5.90500388393523e-07	EXT6	EXT6	Up-regulated	Up-regulated (16804)
AT2G24630	233.288485627289	0.708798316986439	0.148167564532153	4.78376167702094	1.72044659248855e-06	4.80823501830861e-06	ATCSLC08	ATCSLC08	Up-regulated	Up-regulated (16804)
AT2G27200	387.661431341434	0.834325021707232	0.120195596450369	6.94139424693267	3.8824881966587e-12	3.66252226013681e-11	LSG1-1	LSG1-1	Up-regulated	Up-regulated (16804)
AT2G02710	3040.19289560347	0.541910852065185	0.13642260271028	3.9722952157425	7.11834241379844e-05	0.000140949098554184	PLP	PLP	Up-regulated	Up-regulated (16804)
AT2G46200	293.946994323109	0.585658493637747	0.135473581028362	4.32304578643373	1.53889780404106e-05	3.49640858961181e-05		AT2G46200	Up-regulated	Up-regulated (16804)
